Perasaan Benci dan Jijik,Perasaan Percaya,Rasa Syukur dan Apresiasi,Perasaan Sedih dan Kehilangan,Reaksi Terkejut dan Tidak Terduga,Perasaan Takut dan Kecemasan,Perasaan Marah dan Frustasi,Perasaan Sebelum Menghadapi Kejadian
,,,,,,,"Jujur, saya merasa cukup cemas sebelum datang ke sesi ini"
,,,,,Saya takut tidak bisa menjelaskan,,
,,,,,"Saya merasa agak gugup, kak.",,Saya tidak tahu bagaimana harus mulai menceritakan semuanya
,,"Saya merasa baik-baik saja, Kak.",,Awalnya saya agak terkejut ketika dipanggil,,,Saya ingin mencoba berbicara dan mendengar apa yang bisa saya lakukan untuk merasa lebih baik
,,,,,,,Tapi saya ingin mencoba berbicara tentang apa yang saya rasakan.
,,,,,,,"Saya merasa agak cemas, Kak."
,,,Saya merasa biasa saja,,,,
,,,tapi kadang saya merasa sedih,,,,
,,,saya merasa tidak terlalu berharga,,,,
Saya merasa dikhianati oleh orang yang saya percayai di gereja,,Saya merasa lebih baik,,,,,
,,,"Sejujurnya, saya masih merasa bingung dengan pertemanan saya di kampus",,"tetapi saya tidak tahu bagaimana cara menghadapinya, terutama setelah apa yang terjadi dengan teman saya, B",,Saya ingin memiliki hubungan pertemanan yang baik
,,Saya merasa cukup baik hari ini,,,,,
,,Saya baru saja menyelesaikan ujian,,,,,
,,rasanya berjalan cukup lancar,,,,,
,,Tidak ada gangguan atau sosok mengerikan yang muncul,,,,,
,,Hari ini rasanya sedikit lebih baik,,,,tetapi saya masih sering merasa lelah dan mudah kesal,
,,hari ini aku merasa sedikit lebih baik,,,,,tapi tetap masih ada rasa cemas dengan kuliah
,,"Halo kak, sebenarnya hari ini perasaanku lebih baik dibanding pertemuan sebelumnya",,,,,"Aku mencoba beberapa hal yang kita diskusikan, seperti lebih aktif bergerak dan berlibur sebentar"
,,Itu cukup membantu,,,,,
,Maaf aku telat tadi,,"Baik kak, walaupun agak capek",,,,
,"Baik kak, tapi ya, seperti yang aku bilang di kuesioner",,,,aku masih merasa nggak nyaman dengan beberapa hal,,
,,,"Baik, atau mungkin nggak baik juga",,,,
,,,aku nggak tahu pasti,,,,
,,,"Baik, atau mungkin tidak terlalu baik",,,,
,,,Aku juga nggak yakin,,,,
,,,"Baik, atau mungkin nggak baik juga",,,,
,,,Aku juga nggak tahu,,,,
,,,"baik kak, tapi jujur agak capek dan masih kepikiran banyak hal",,,,
,,,"baik kak, ya walaupun masih kepikiran beberapa hal sih",,,,
,,,,,,,"Baik, tapi sebenarnya masih sering merasa cemas sih, kak"
,,,,,"Aku memang penasaran sih, apakah yang aku lakukan untuk menghadapi masalahku selama ini sudah benar atau belum",,
,,,,,"Baik kak, walaupun masih agak canggung sih karena belum pernah konseling sebelumnya",,
,,,,,Aku merasa sangat lelah dan bingung dengan semuanya.,,
,,,,,"Sejujurnya, aku merasa lebih buruk dibandingkan sesi sebelumnya.",,
,,,,masih mengalami konflik antara pikiran dan perasaan saya,Saya merasa tidak percaya diri,,"Tapi, saya mencoba untuk lebih menyadari ketika pikiran buruk muncul."
,,,"Iya, saya masih merasa tertekan saat di rumah.",,Saya takut melakukan kesalahan karena ayah saya bisa marah dan memukul saya. ,,
,,,,,Saya juga masih merasa canggung saat berbicara dengan teman-teman saya.,,
Saya merasa ada banyak hal yang mengganggu pikiran saya.,,,juga merasa terbebani dengan kondisi keuangan keluarga saya.,,Saya bingung dengan hubungan saya ,,
,,,,,"Saya merasa bingung, karena kami sudah hampir tiga tahun bersama, tapi akhir-akhir ini rasanya berbeda.",,Saya ingin membahas tentang hubungan saya dengan pacar dulu. 
"Saya sering menghindari komunikasi dengan dia, misalnya tidak membalas chat dan menjauh tanpa alasan yang jelas.",,,Saya sering kali merasa tidak nyaman dengan hubungan ini. ,,,Awalnya saya merasa kesal,tapi lama-lama saya juga mulai terbiasa sendiri
Sampai akhirnya bulan lalu dia bilang ingin break untuk introspeksi diri.,,,,Dia sering bertanya kenapa saya menjauh,,"Dia biasanya bisa mengerti, tapi karena ini terjadi berkali-kali, akhirnya kami sering bertengkar. ",saya selalu meminta maaf
,,"Iya, saya merasa lebih nyaman sendiri karena tidak ada tuntutan untuk selalu merespons seseorang. ","Tapi di sisi lain, saya merasa kehilangan.",,Saya juga merasa bersalah karena mungkin sikap saya yang membuat dia ingin break.,,
,,,Saya jadi merasa terbebani dan berpikir bahwa saya hanya menambah masalah bagi keluarga.,"Sejak setahun terakhir, orang tua saya sering membicarakan masalah keuangan di depan saya. ",,,
,,,Bahkan ada saat-saat di mana saya merasa ingin menyerah dan berpikir bahwa lebih baik saya tidak ada di dunia ini.,Saya sering merasa stres dan kurang fokus di kampus. ,,,
,,,,,"Saya selalu merasa takut, tangan saya gemetar, dan sulit berkata-kata.",,Saya ingin membicarakan tentang kecemasan saya ketika harus berbicara di depan umum. 
,"Saya sudah merasa seperti ini sejak lama, mungkin sejak SD. ",,,,,"Saya pernah mengalami kejadian yang membuat saya malu saat kelas 3 SD, ketika saya berbicara dalam bahasa Jawa di depan guru dan teman-teman saya. ",
,,,,,,Guru saya mengoreksi saya dan mengatakan bahwa kata yang saya gunakan memiliki arti yang berbeda dalam bahasa Indonesia.,
,,,Saya tahu guru saya tidak bermaksud jahat,,"tapi setelah itu, saya selalu takut berbicara di depan orang lain karena khawatir salah bicara lagi.",Saya merasa malu dan salah. ,
,,,,,Saya merasa sangat gugup,,
,,,,,"Bahkan sebelum berbicara, saya sudah berpikir bahwa saya akan salah bicara dan orang-orang akan menertawakan saya. ",,
,,,,,"Ketika akhirnya saya berbicara, tangan saya gemetar dan saya tidak bisa berpikir jernih.",,
,,"Ya, saya sebenarnya paham",,,,,
,,,,,tapi saya takut salah bicara.,,
,,Sebenarnya mereka biasa saja,,,,,
,,Tidak ada yang mengejek atau mempermalukan saya.,,,,,
,,,"Saya mengalami banyak hal sejak kecil, dan itu masih berdampak pada saya sampai sekarang.",,,,
,,,"Saya mengalami perundungan sejak SD, SMP, hingga SMA. ",,,,
,,,"Saya sering dikucilkan, dihina secara verbal, bahkan mengalami kekerasan fisik. ",,,,
,,,"Waktu SD, saya pernah dipukul dengan batako dan mata saya dimasukkan pasir oleh teman-teman saya.",,,,
,,,,,,"Saya melapor ke orang tua saya, tapi mereka justru memarahi saya. ",
,,,,,,"Ayah saya memukul saya dengan selang dan berkata bahwa saya harus melawan, jangan jadi anak yang lemah.",
"Sejak itu, saya tidak pernah lagi bercerita kepada orang tua saya.",,,Saya berpikir bahwa saya harus menghadapi semuanya sendirian. ,,Saya merasa kecewa dan putus asa.,,
,,,Saya menganggap boneka itu sebagai teman saya. ,,,,Saya mulai berbicara dengan diri sendiri dan boneka kesayangan saya. 
,,,"Lalu di SMP, saya mulai melihat sosok yang hanya saya yang bisa lihat dan ajak bicara.",,,,
,,,"Saya juga beberapa kali mencoba mengakhiri hidup, tapi saya masih bertahan sampai sekarang.",,,,
,,,,"Tapi kadang-kadang saat saya sendirian atau di tempat ramai, sosok itu tiba-tiba muncul dan berbicara kepada saya.",,,
,Kadang dia hanya mengajak saya berbicara atau menanyakan perasaan saya.,,,,,,
,,,"Iya, saya memang sering mengalami masalah pencernaan sejak SMP. ",,,,
,,,"Saya pernah terkena TB usus, dan saya juga sering kambuh maag serta asam lambung. ",,,,
,,,,,,"Sudah, Kak. Saya tahu saya harus menjaga pola makan dan sudah beberapa kali berkonsultasi dengan dokter.",
,,,"Sebenarnya tidak terlalu mengganggu, tapi ada saat-saat di mana saya merasa sangat lelah dan sulit berkonsentrasi. ",,Kadang saya khawatir apakah saya bisa bertahan dengan jadwal kuliah yang padat.,,
,,,,,Saya takut kalau nanti saya tidak bisa mengatur waktu dengan baik dan akhirnya ketinggalan tugas. ,,Saya sering merasa cemas membandingkan diri saya dengan teman-teman yang terlihat lebih bisa mengatur semuanya dengan baik.
,,,"Di rumah ada banyak konflik antara ayah dan ibu, terutama tentang peran mereka dalam keluarga. ",,Mereka sering bertengkar tentang hal itu.,,"Ayah saya memiliki pola pikir yang sangat patriarkal, sementara ibu saya ingin lebih mandiri. "
Saya biasanya berusaha untuk tidak memperdulikan ayah dan lebih dekat dengan ibu. ,,"Saya sering keluar berdua dengan ibu, dan itu membuat saya merasa lebih tenang.",,,,,
,,"Iya, saya merasa lebih bisa bercerita dengan ibu. ",Tapi saya juga merasa ada jarak dengan ayah,saya tidak tahu apakah itu baik atau buruk.,,,
Saya juga merasa sering menyalahkan diri sendiri dan sulit mengekspresikan emosi saya.,,,,,Saya sering merasa kehilangan kesadaran atau hampir pingsan ketika mendengar bentakan atau suara keras. ,,
,,,,,Saat itu saya ikut pelatihan paskibra dan pelatihnya sering berteriak dengan nada tinggi. ,,
,,,,,"Saya mulai merasa pusing, jantung berdebar, hingga kehilangan keseimbangan.",,
,,,Mungkin karena sejak kecil saya sering mendapat tekanan dari orang tua saya. ,,,Mereka menuntut saya untuk selalu mengalah dan menjaga adik saya. ,
,,,,,,"Ibu saya perfeksionis, dan saya merasa harus selalu memenuhi harapan mereka.",
,,,,,,"Ibu saya selalu menuntut saya untuk menjadi yang terbaik, baik dalam hal akademik maupun sikap. ",
,,,,,,"Saya selalu diminta untuk menjaga adik saya, meskipun saya merasa adik saya sulit diatur. ",
,,,,,,"Kami sering bertengkar, tapi ibu selalu berpihak pada adik saya.",
,,,Saya biasanya hanya diam dan memendam perasaan saya. ,,Saya tidak ingin marah karena takut dianggap anak yang durhaka.,,
,,,"Saya masih merasa ada jarak, terutama dengan ibu saya. ",,"Saya ingin bisa berkomunikasi lebih baik, tapi saya juga takut jika saya menyampaikan perasaan saya, mereka akan marah.",,
,,,Saya pernah mengalami bullying saat SMA. ,,Saya tidak melawan atau melaporkan kejadian itu karena saya tidak ingin menambah masalah.,Salah satu teman saya mengajak teman-teman lain untuk menjauhi saya karena saya dianggap 'cupu'. ,
,,,Saya merasa sangat sendirian. ,,"Saya ingin berbicara dengan orang tua saya, tapi saya tahu mereka akan marah dan menganggap saya lemah.",,
,,"Saya baik-baik saja, Kak. ",,,,,"Tapi saya juga merasa cemas, terutama tentang tugas ospek yang harus diposting di media sosial."
,,,,,"Suara-suara itu mulai muncul lagi, terutama saat saya merasa diperhatikan. ",,
,,,,,Saya juga masih merasa takut kalau suatu hari ada yang menghubungkan saya dengan foto yang pernah tersebar.,,
mendengar suara yang mengatakan 'kamu tidak layak dicintai',,,,,"Beberapa hari lalu, ketika ada orang yang melihat saya dari kepala sampai kaki. ",,
,,,,,Saya langsung merasa panik ,,
"Saya biasanya mengabaikannya, ",,agar saya merasa lebih baik.,,,,,ada saat di mana saya merasa perlu diperhatikan oleh orang lain
,,,,,"Ya, saya merasa tidak aman. ",,
,,,,,Rasanya seperti semua orang akan menilai saya berdasarkan masa lalu saya.,,
,Itu mungkin bisa membantu,,,,,,
,Saya akan mencobanya.,,,,,,
,,,,,,Teman saya mengatakan sesuatu yang menyebalkan tentang kejadian lama itu. ,
,,,,,,Saya langsung marah dan mendorongnya.,
,,,,,,,"Saya merasa cukup cemas, Kak. "
,,,,,,,Saya bingung dengan apa yang harus saya lakukan mengenai beasiswa saya yang sudah pasti akan dicabut.
tapi juga merasa bersalah. ,,,,"Saya sebenarnya bukan hanya bingung tentang beasiswa ini, Kak, ",,,
