question,Intent
Aku sangat marah dan sedih karena dia nggak sudi ngasih aku bantuan itu,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku kehilangan harapan ketika gak bisa kerja sambil kuliah,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku jadi gak sabar dan gak bisa tidur malam setelah tahu hasil tes itu,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku putus asa karena aku gak bisa menemukan kerja setelah lulus,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa tidak berharga karena gak bisa mencapai target kuliah,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kesal karena teman aku nggak menjawab pesan samasekali,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat sedih karena orang tua aku tidak menerima keputusanku,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa duka karena aku kehilangan teman karibku,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku jengkel banget karena harus mengerjakan tugas tambahan lagi,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku nggak sabar menunggu hasil rekening kuliah yang udah lama,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku merasa kehilangan arah karena gak bisa memilih jurusan yang tepat,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sangat kesepian karena gak ada teman yang mau ngobrol,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku malu dan sedih karena aku terlambat dalam menghadapi ujian,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
Aku sedih dan putus asa karena tidak bisa menemukan pekerjaan yang tepat,Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Marah dan Frustasi
