question,stage,adversarial,user_input,retrieved_contexts,response,reference,LABAN_Counseling_Standard
"Terima kasih, Kak. Aku merasa sedikit lebih lega… Walaupun aku tahu ini tidak akan mudah.",pembahasan,False,"[Tahap Konseling: pembahasan] Terima kasih, Kak. Aku merasa sedikit lebih lega… Walaupun aku tahu ini tidak akan mudah.","['Perubahan membutuhkan waktu, dan aku di sini untuk mendukungmu. Kita akan bertemu lagi untuk membahas bagaimana jurnal dan sistem barumu berjalan. Jika kamu butuh sesuatu sebelum pertemuan berikutnya, jangan ragu untuk menghubungiku, ya.']","Syukur sekali kamu sudah merasa sedikit lebih lega, ya. Wajar sekali kalau di satu sisi kamu juga merasa ini tidak akan mudah. Boleh diceritakan lebih jauh, apa yang terlintas di benakmu saat mengatakan 'ini tidak akan mudah'?","Perubahan membutuhkan waktu, dan aku di sini untuk mendukungmu. Kita akan bertemu lagi untuk membicarakan bagaimana jurnal dan sistem baru kamu berjalan. Jika kamu membutuhkan sesuatu sebelum pertemuan berikutnya, silakan hubungi aku saja.",1
"Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya.",pembahasan,False,"[Tahap Konseling: pembahasan] Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya.","['Itu langkah yang bagus. Kamu juga bisa mencoba menetapkan batasan, agar kamu merasa lebih aman dalam berinteraksi dengan orang lain. Jika seseorang membuatmu tidak nyaman, kamu berhak untuk menjaga jarak, tapi bukan berarti kamu harus menjauhi semua orang.']","Rasanya melegakan ya, punya seseorang yang kamu percaya tidak akan menjelek-jelekkanmu. Itu adalah hal yang sangat berharga.

Di sisi lain, ada juga perasaan bahwa kamu belum pernah benar-benar terbuka dengannya. Bisa kamu ceritakan lebih jauh, apa yang biasanya membuatmu menahan diri untuk tidak terlalu banyak bercerita?","Itu langkah yang bagus. Kamu juga bisa mencoba menetapkan batasan, agar kamu merasa lebih aman dalam berinteraksi dengan orang lain. Jika seseorang membuatmu tidak nyaman, kamu berhak untuk menjaga jarak, tapi bukan berarti kamu harus menjauhi semua orang.",1
Itu mungkin bisa membantu. Saya akan mencobanya.,solusi,False,[Tahap Konseling: solusi] Itu mungkin bisa membantu. Saya akan mencobanya.,['Saya juga ingin membahas sesuatu yang terjadi baru-baru ini. Saya mendengar bahwa kamu sempat mendorong dan memukul temanmu. Bisa ceritakan apa yang terjadi saat itu?'],"Senang sekali mendengarnya! Itu adalah langkah yang positif dan saya mendukung niat baikmu.

Bisa ceritakan lebih lanjut, apa yang terlintas di pikiranmu sebagai langkah pertama yang akan kamu coba?",Saya juga ingin membahas sebuah kejadian yang baru-baru ini terjadi. Saya dengar kamu memukul dan mendorong temanmu. Bisakah kamu menjelaskan apa yang terjadi saat itu?,1
"Saya tidak tahu. Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi.",solusi,False,"[Tahap Konseling: solusi] Saya tidak tahu. Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi.",['Itu adalah perasaan yang valid. Tapi bagaimana jika kita mulai dengan langkah kecil? Mungkin kamu bisa mencoba berbicara lebih terbuka dengan seseorang yang sudah kamu kenal lama dan kamu rasa bisa dipercaya.'],"Saya mengerti sekali rasa takut itu, apalagi setelah pengalaman dikhianati. Itu perasaan yang sangat valid. Tapi, bagaimana kalau kita coba mulai dengan langkah yang sangat kecil? Mungkin kamu bisa mencoba berbagi sedikit tentang perasaanmu kepada satu orang yang kamu kenal baik dan kamu percaya, sekadar untuk merasakan kembali koneksi yang aman.",Itu adalah emosi yang sah. Tetapi bagaimana jika kita awali dengan langkah-langkah kecil? Kamu mungkin bisa mencoba untuk berbicara lebih jujur dengan seseorang yang sudah kamu kenal lama dan kamu anggap dapat dipercaya.,1
Halo,pembukaan,False,[Tahap Konseling: pembukaan] Halo,"['Halo DNS, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah ruang yang aman untukmu dan saya di sini untuk mendengarkan serta membantumu. Bagaimana perasaanmu hari ini?']","Halo juga. Selamat datang. Saya [Nama Konselor], dan saya di sini untuk mendengarkan Anda. Saya ingin Anda tahu bahwa ini adalah ruang yang aman dan nyaman bagi Anda untuk berbagi apa pun yang ada di hati.

Bagaimana perasaan Anda hari ini?",Halo. Aku pastikan ini adalah tempat nyaman dan aman untukmu. Saya siap untuk mendengar dan membantumu. Apa kabarmu hari ini?,1
"Halo Kak, hari ini aku merasa sedikit lebih baik, tapi tetap masih ada rasa cemas dengan kuliah",pembahasan,False,"[Tahap Konseling: pembahasan] Halo Kak, hari ini aku merasa sedikit lebih baik, tapi tetap masih ada rasa cemas dengan kuliah","['Saya senang mendengar kalau kamu merasa lebih baik. Kita akan membahas beberapa hal hari ini, ya. Sebelumnya, bagaimana perkembanganmu sejak pertemuan terakhir?']","Halo, Kakak senang mendengar kalau kamu merasa sedikit lebih baik hari ini. Saya juga menangkap kalau kecemasan tentang kuliah itu masih ada ya.

Boleh diceritakan lebih lanjut, apa saja yang membuatmu merasa cemas tentang kuliah?","Senang mendengar kamu merasa lebih baik lagi. Kita akan membahas beberapa hal hari ini, ya. Sebelumnya, bagaimana perkembanganmu sejak pertemuan terakhir?",1
"Baik, Kak. Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.",pembahasan,False,"[Tahap Konseling: pembahasan] Baik, Kak. Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.",['Saya juga ingin kamu mencoba journaling seminggu sekali. Tuliskan semua pengalaman positif yang kamu alami dalam seminggu. Ini akan membantumu lebih fokus pada hal-hal baik dalam hidupmu.'],"Saya bisa melihat kamu sedang mencari cara untuk merasa lebih baik. Bisakah kamu ceritakan lebih banyak, seperti apa stres yang kamu rasakan ini?",Saya juga mengajak kamu untuk mencoba menulis jurnal setiap minggu sekali. Tuliskan semua pengalaman baik yang kamu alami dalam seminggu. Ini akan membantumu untuk lebih fokus pada hal-hal yang baik dalam hidupmu.,1
"Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat dulu…",solusi,False,"[Tahap Konseling: solusi] Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat dulu…","['Tidak apa-apa, silakan dijawab.']","Oh, tentu. Silakan angkat dulu saja, ya. Kita bisa lanjutkan nanti.","Baik, saya akan beri jeda terlebih dahulu",1
"Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya.",pembahasan,False,"[Tahap Konseling: pembahasan] Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya.","['Itu wajar. Tapi dengan komunikasi yang asertif, kamu bisa mengungkapkan perasaanmu tanpa menyulut konflik. Kadang, orang lain tidak menyadari bahwa tindakan mereka menyakiti kita, dan kita perlu memberi tahu mereka dengan cara yang baik.']","Saya bisa memahami kenapa Anda merasa takut seperti itu. Memang tidak mudah ya, untuk menyampaikan sesuatu yang kita khawatirkan justru akan memperburuk hubungan.

Kira-kira, apa yang paling Anda bayangkan atau khawatirkan akan terjadi jika Anda mengungkapkannya kepada B dan teman-teman lainnya?","Itu wajar. Tapi dengan berbicara tegas, kamu bisa menyampaikan perasaanmu tanpa menyebabkan perangkap. Terkadang, orang lain tidak tahu bahwa hal yang mereka lakukan membuat kita merasa sakit, dan kita harus mengatakannya dengan cara yang lembut.",1
"Oke, aku bisa coba itu.",pembahasan,False,"[Tahap Konseling: pembahasan] Oke, aku bisa coba itu.","['Kedua, mari kita buat sistem kecil untuk membantumu menyelesaikan tugas. Kita mulai dengan tugas yang paling kecil, dan aku ingin kamu mencoba teknik pomodoro—mengerjakan selama 25 menit, lalu istirahat 5 menit. Bagaimana menurutmu?']","Kedengarannya kamu merasa ada kemauan untuk mencoba ya. Dari semua yang kita bicarakan tadi, bagaimana perasaanmu saat ini?","Senang mendengarnya, bagaimana rencanamu mencobanya?",1
