Perasaan Benci dan Jijik,Perasaan Percaya ,Rasa Syukur dan Apresiasi,Perasaan Sedih dan Kehilangan,Reaksi Terkejut dan Tidak Terduga,Perasaan Takut dan Kecemasan,Perasaan Marah dan Frustasi,Perasaan Sebelum Menghadapi Kejadian,,,
,,,,,,,"Jujur, saya merasa cukup cemas sebelum datang ke sesi ini",,,
,,,,,Saya takut tidak bisa menjelaskan,,,,,
,,,,,"Saya merasa agak gugup, kak.",,Saya tidak tahu bagaimana harus mulai menceritakan semuanya,,,
,,"Saya merasa baik-baik saja, Kak.",,Awalnya saya agak terkejut ketika dipanggil,,,Saya ingin mencoba berbicara dan mendengar apa yang bisa saya lakukan untuk merasa lebih baik,,,
,,,,,,,Tapi saya ingin mencoba berbicara tentang apa yang saya rasakan.,,,
,,,,,,,"Saya merasa agak cemas, Kak.",,,
,,,Saya merasa biasa saja,,,,,,,
,,,tapi kadang saya merasa sedih,,,,,,,
,,,saya merasa tidak terlalu berharga,,,,,,,
Saya merasa dikhianati oleh orang yang saya percayai di gereja,,Saya merasa lebih baik,,,,,,,,
,,,"Sejujurnya, saya masih merasa bingung dengan pertemanan saya di kampus",,"tetapi saya tidak tahu bagaimana cara menghadapinya, terutama setelah apa yang terjadi dengan teman saya, B",,Saya ingin memiliki hubungan pertemanan yang baik,,,
,,Saya merasa cukup baik hari ini,,,,,,,,
,,Saya baru saja menyelesaikan ujian,,,,,,,,
,,rasanya berjalan cukup lancar,,,,,,,,
,,Tidak ada gangguan atau sosok mengerikan yang muncul,,,,,,,,
,,Hari ini rasanya sedikit lebih baik,,,,tetapi saya masih sering merasa lelah dan mudah kesal,,,,
,,hari ini aku merasa sedikit lebih baik,,,,,tapi tetap masih ada rasa cemas dengan kuliah,,,
,,"Halo kak, sebenarnya hari ini perasaanku lebih baik dibanding pertemuan sebelumnya",,,,,"Aku mencoba beberapa hal yang kita diskusikan, seperti lebih aktif bergerak dan berlibur sebentar",,,
,,Itu cukup membantu,,,,,,,,
,Maaf aku telat tadi,,"Baik kak, walaupun agak capek",,,,,,,
,"Baik kak, tapi ya, seperti yang aku bilang di kuesioner",,,,aku masih merasa nggak nyaman dengan beberapa hal,,,,,
,,,"Baik, atau mungkin nggak baik juga",,,,,,,
,,,aku nggak tahu pasti,,,,,,,
,,,"Baik, atau mungkin tidak terlalu baik",,,,,,,
,,,Aku juga nggak yakin,,,,,,,
,,,"Baik, atau mungkin nggak baik juga",,,,,,,
,,,Aku juga nggak tahu,,,,,,,
,,,"baik kak, tapi jujur agak capek dan masih kepikiran banyak hal",,,,,,,
,,,"baik kak, ya walaupun masih kepikiran beberapa hal sih",,,,,,,
,,,,,,,,,,
,,,,,,,"Baik, tapi sebenarnya masih sering merasa cemas sih, kak",,,
,,,,,"Aku memang penasaran sih, apakah yang aku lakukan untuk menghadapi masalahku selama ini sudah benar atau belum",,,,,
,,,,,"Baik kak, walaupun masih agak canggung sih karena belum pernah konseling sebelumnya",,,,,
,,,,,Aku merasa sangat lelah dan bingung dengan semuanya.,,,,,
,,,,,"Sejujurnya, aku merasa lebih buruk dibandingkan sesi sebelumnya.",,,,,
,,,,masih mengalami konflik antara pikiran dan perasaan saya,Saya merasa tidak percaya diri,,"Tapi, saya mencoba untuk lebih menyadari ketika pikiran buruk muncul.",,,
,,,"Iya, saya masih merasa tertekan saat di rumah.",,Saya takut melakukan kesalahan karena ayah saya bisa marah dan memukul saya. ,,,,,
,,,,,Saya juga masih merasa canggung saat berbicara dengan teman-teman saya.,,,,,
Saya merasa ada banyak hal yang mengganggu pikiran saya.,,,juga merasa terbebani dengan kondisi keuangan keluarga saya.,,Saya bingung dengan hubungan saya ,,,,,
,,,,,"Saya merasa bingung, karena kami sudah hampir tiga tahun bersama, tapi akhir-akhir ini rasanya berbeda.",,Saya ingin membahas tentang hubungan saya dengan pacar dulu. ,,,
"Saya sering menghindari komunikasi dengan dia, misalnya tidak membalas chat dan menjauh tanpa alasan yang jelas.",,,Saya sering kali merasa tidak nyaman dengan hubungan ini. ,,,Awalnya saya merasa kesal,tapi lama-lama saya juga mulai terbiasa sendiri,,,
