Unnamed: 0,question,Intent
0,"Jujur, saya merasa cukup cemas sebelum datang ke sesi ini. Saya takut tidak bisa menjelaskan dengan baik tentang apa yang saya rasakan.",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1,"Saya merasa agak gugup, Kak. Saya tidak tahu bagaimana harus mulai menceritakan semuanya.",Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
2,"Saya merasa baik-baik saja, Kak. Awalnya saya agak terkejut ketika dipanggil, tapi saya ingin mencoba berbicara dan mendengar apa yang bisa saya lakukan untuk merasa lebih baik.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
3,"Saya merasa agak cemas, Kak. Tapi saya ingin mencoba berbicara tentang apa yang saya rasakan.",Menyatakan Perasaan Sebelum Menghadapi Kejadian
4,"Saya merasa... biasa saja, tapi kadang saya merasa sedih. Saya masih sulit mendapatkan teman, dan saya merasa tidak terlalu berharga.",Menyatakan Perasaan Sedih dan Kehilangan
5,"Halo Kak. Ya... saya merasa sedikit lebih baik, tapi tetap ada rasa kecewa yang sulit hilang. Saya merasa dikhianati oleh orang yang saya percayai di gereja.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi
6,"Halo Kak. Sejujurnya, saya masih merasa bingung dengan pertemanan saya di kampus. Saya ingin memiliki hubungan pertemanan yang baik, tetapi saya tidak tahu bagaimana cara menghadapinya, terutama setelah apa yang terjadi dengan teman saya, B.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Sebelum Menghadapi Kejadian
7,"Halo Kak. Saya merasa cukup baik hari ini. Saya baru saja menyelesaikan ujian, dan rasanya berjalan cukup lancar. Tidak ada gangguan atau sosok mengerikan yang muncul semalam.",Menyatakan Rasa Syukur dan Apresiasi
8,"Halo Kak. Hari ini rasanya sedikit lebih baik, tetapi saya masih sering merasa lelah dan mudah kesal.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Marah dan Frustasi
9,"Halo Kak, hari ini aku merasa sedikit lebih baik, tapi tetap masih ada rasa cemas dengan kuliah",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
10,"Halo Kak, sebenarnya hari ini perasaanku lebih baik dibanding pertemuan sebelumnya. Aku mencoba beberapa hal yang kita diskusikan, seperti lebih aktif bergerak dan berlibur sebentar. Itu cukup membantu.",Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
11,"Baik, KakÂ ya walaupun agak capek. Maaf aku telat tadi",Menyatakan Perasaan Percaya; Menyatakan Perasaan Sedih dan Kehilangan
12,"Baik, KakÂ tapi ya, seperti yang aku bilang di kuesioner, aku masih merasa nggak nyaman dengan beberapa hal",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan
