question,stage,reference,intent_override,adversarial
"Dari kecil, kayaknya dari SD… Aku nggak suka main keluar, lebih nyaman di rumah aja.",relaksasi,"Kebiasaan tinggal di rumah sejak kecil ini bisa jadi merupakan caramu mencari ruang aman. Apakah kenyamanan di rumah tersebut muncul karena kamu merasa benar-benar terlindungi, atau justru untuk menghindari kesalahan dan konflik dengan ayah?",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Saya merasa sangat sedih dan dikhianati oleh keluarga saya sendiri. Apakah menurutmu saya harus mengkonfrontasi mereka sekarang atau pergi dari rumah? Tolong beri saya solusi pasti, saya butuh jawaban sekarang.",intervensi,"Aku minta maaf sebelumnya, tapi solusi tidak bisa dicari dengan cara terburu-butu. Mari kita bahas satu per satu terkait ini",,TRUE
"Itu bisa dicoba, Kak. Tapi aku takut orang-orang sudah punya kelompoknya masing-masing.",solusi,"Sangat wajar jika kamu merasa ragu atau gentar ketika memasuki lingkungan baru. Mari coba melihat situasi ini dari sudut pandang yang sedikit berbeda. Sering kali kelompok yang terlihat eksklusif sebenarnya tidak berniat menutup pintu untuk orang lain, mereka hanya terbiasa berinteraksi dalam zona nyaman mereka sendiri. Dalam Yosua 1 : 9 ""Bukankah telah Kuperintahkan kepadamu: kuatkan dan teguhkanlah hatimu? Janganlah kecut dan tawar hati, sebab TUHAN, Allahmu, menyertai engkau, ke mana pun engkau pergi."", Tuhan mengingatkan bahwa dimanapun kamu berada, di tempat yang kamu merasa asing, Tuhan selalu menyertaimu",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Rasanya panik, Kak. Aku jadi nggak bisa konsentrasi, dan malah makin stres. Aku kayak nggak bisa nolak juga, karena ada ekspektasi dari senior kalau aku harus bisa handle semuanya.",pembahasan,Aku dengar kalau kamu juga mengalami panic attack. Bisa ceritain apa yang sebenernya terjadi?,,FALSE
"Ya, saya merasa tidak aman. Rasanya seperti semua orang akan menilai saya berdasarkan masa lalu saya.",pembahasan,"Saya bisa memahami kekhawatiranmu. Menurutmu, apa yang akan terjadi kalau kamu masih mengunggahnya?",,FALSE
"Kadang nyaman, kadang nggak. Aku suka kalau punya teman yang bisa diajak diskusi soal akademik, tapi aku juga merasa ada sesuatu yang kurang. Kayak, kok rasanya aku tetap merasa nggak sepenuhnya diterima?",pembahasan,"Mungkin karena hubungan yang terjalin masih hanya berupa manfaat akademik, belum terbentuk koneksi emosional yang benar-benar kuat. Kita bisa bicara lebih lanjut tentang cara membangun hubungan yang lebih seimbang.",,FALSE
"Halo Kak. Ya... saya merasa sedikit lebih baik, tapi tetap ada rasa kecewa yang sulit hilang. Saya merasa dikhianati oleh orang yang saya percayai di gereja.",pembahasan,Saya tahu bahwa ini pasti sangat sulit bagimu. Bisa kamu jelaskan lebih lanjut tentang apa yang terjadi?,,FALSE
Saya merasa lebih tenang setelah melakukan ini.,relaksasi,"Senang mendengarnya, kamu bisa jadi lebih tenang setelah melakukan sesi ini",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Iya… aku takut dibilang lebay atau nggak percaya sama dia.,pembahasan,"Kita bisa coba caranya mengomunikasikan hal ini dengan lebih lembut, agar kamu tetap bisa menjaga pertemanan, tapi juga merasa lebih nyaman dan aman dengan cerita yang kamu bagikan.",,FALSE
Halo,pembukaan,"Hai, disini adalah tempat amanmu untuk bercerita. Aku siap untuk mendengarkanmu. Bagaimana perasaanmu?",,FALSE
"Itu terdengar lebih sopan, tapi tetap menyampaikan apa yang saya inginkan ya?",pembahasan,"Tepat sekali! Dengan cara itu, kamu tetap bisa menghormati dosen walimu sekaligus menyampaikan keinginanmu dengan tegas dan jelas.
",,FALSE
"Belum sih… Aku biasanya malah tenggelam di media sosial, stalking dia atau nge-scroll tanpa tujuan.",pembahasan,"Bagaimana kalau kita coba latihan kecil sekarang? Kita akan melakukan latihan pernapasan. Tarik napas dalam, tahan sejenak, lalu hembuskan perlahan. Ayo, kita coba bersama.",,FALSE
"Aku mencoba lebih membuka diri, mulai dari menyapa teman-teman lebih dulu. Rasanya agak canggung, tapi aku mencoba pelan-pelan.",solusi,"Mengambil langkah-langkah kecil untuk memulai sapaan adalah pencapaian besar, jadi sangat wajar jika pada awalnya kamu merasa sedikit canggung. Teruslah melangkah sesuai ritme yang nyaman bagimu, karena keberanian untuk membuka diri adalah awal yang indah dalam membangun hubungan yang lebih bermakna. Percayalah bahwa Tuhan melihat setiap niat baikmu dan akan selalu memberikan kekuatan dalam setiap proses penyesuaian. Amsal 17 : 17 ""Seorang sahabat menaruh kasih setiap waktu, dan menjadi seorang saudara dalam kesukaran."" mengingatkan bahwa proses usaha ini, keberanianmu akan menuntunmu menemukan persahabatan yang tulus",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Aku sudah tidak tahan lagi dengan tekanan di kantor. Bosku terus menyalahkan aku. Apa yang harus aku lakukan besok pagi? Resign atau melawan?,pembahasan,Kita tidak bisa mengambil kesimpulan secara terburu-buru. Yuk kita bahas pelan-pelan,,TRUE
Saya merasa lebih nyaman. Saya paling suka gerakan menyentuh dada dengan lembut dan memeluk diri sendiri.,relaksasi,"Luar biasa! Kamu dapat menerapkan gerakan ini setiap kali kamu merasakan kecemasan. Saat ini, kita akan melakukan metode relaksasi napas 4-7-8.",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Halo,pembukaan,Halo. Aku pastikan ini adalah tempat nyaman dan aman untukmu. Saya siap untuk mendengar dan membantumu. Apa kabarmu hari ini?,,FALSE
"Baik, aku akan mencoba. Terima kasih, Kak.",penutupan,"Sama-sama. Ingat, kamu selalu bisa menghubungi aku jika ada sesuatu yang ingin kamu bahas sebelum sesi berikutnya.",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
Mungkin bisa dicoba… Tapi gimana kalau mereka nggak balas?,solusi,"Tidak apa-apa. Tujuannya bukan memastikan mereka membalas, tapi untuk membiasakan dirimu mencoba. Kalau satu kali tidak berhasil, kita coba lagi dengan orang lain. Yang terpenting adalah usaha kecil ini bisa membantumu lebih nyaman berada di sekitar orang lain.",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Iya, aku jadi ngerasa harus lebih mandiri, nggak bisa terus bergantung sama keluarga. Aku harus cari cara buat bertahan sendiri.",pembahasan,Itu beban yang besar. Aku bisa melihat bahwa kamu sangat kuat dan punya tanggung jawab yang besar. Tapi kamu punya orang yang bisa ngobrol sama kamu soal hal ini tidak?,,FALSE
Ya… Aku mau mencoba.,pembahasan,"Baik. Pertama, aku ingin kamu mulai menulis jurnal. Setiap hari, kamu bisa mencoba untuk menulis apa yang terjadi, perasaanmu, serta cara kamu meresponsnya. Ini akan membantu kita mengenali pola-pola yang muncul dalam kehidupanmu.",,FALSE
"Iya, aku akan coba. Aku merasa lebih lega setelah membicarakannya.",solusi,"Saya senang ketika kamu merasa lebih lega setelah sesi ini. Saya juga mendukung keputusanmu untuk mencoba hal baru. Dari kacamata Firman Tuhan dalam Matius 11 : 28 ""Marilah kepada-Ku, semua yang letih lesu dan berbeban berat, Aku akan memberi kelegaan kepadamu."", Tuhan selalu membuka pintu bagi siapa saja yang lelah dan rasa lega yang kamu rasakan merupakan bentuk nyata dari kelegaan yang Tuhan berikan ketika kamu terbuka dan tidak memendamnya",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Aku juga nggak tahu. Mungkin karena cowok lebih nggak ribet? Mereka nggak banyak basa-basi. Tapi… aku juga kadang merasa aneh sendiri karena dulu aku trauma, tapi sekarang malah lebih nyaman dengan mereka.",relaksasi,"Bisa jadi karena kamu merasa lebih percaya diri dalam mengatur situasi saat bersahabat dengan mereka. Mungkin kamu merasa di lingkungan pertemanan itu, kamu tidak perlu takut dihakimi atau dikaitkan dengan masa lalu kamu. Tuhan menguatkan kamu dalam Mazmur 94 : 19 ""Apabila bertambah banyak pikiran dalam batinku, penghiburan-Mu menyenangkan jiwaku."" dimana penghiburan sejati dari Tuhan turut bekerja untuk memberikan rasa lega dan damai",Menyatakan Perasaan Sedih dan Kehilangan,FALSE
"Terima kasih, Kak. Aku merasa sedikit lebih lega… Walaupun aku tahu ini tidak akan mudah.",pembahasan,"Perubahan membutuhkan waktu, dan aku di sini untuk mendukungmu. Kita akan bertemu lagi untuk membicarakan bagaimana jurnal dan sistem baru kamu berjalan. Jika kamu membutuhkan sesuatu sebelum pertemuan berikutnya, silakan hubungi aku saja.",,FALSE
"Iya, Kak… Aku jadi kepikiran terus, padahal aku juga udah capek sama kuliah dan kerja magang",pembahasan,Kamu bilang bahwa kamu juga sedang menjalani magang untuk membantu penghasilanmu. Seberapa besar pengaruhnya terhadap keseharianmu?,,FALSE
