question,stage,adversarial,user_input,retrieved_contexts,response,reference,LABAN_Counseling_Standard
"Terima kasih, Kak. Aku merasa sedikit lebih lega… Walaupun aku tahu ini tidak akan mudah.",pembahasan,False,"[Tahap Konseling: pembahasan] Terima kasih, Kak. Aku merasa sedikit lebih lega… Walaupun aku tahu ini tidak akan mudah.","['Perubahan membutuhkan waktu, dan aku di sini untuk mendukungmu. Kita akan bertemu lagi untuk membahas bagaimana jurnal dan sistem barumu berjalan. Jika kamu butuh sesuatu sebelum pertemuan berikutnya, jangan ragu untuk menghubungiku, ya.']","Aku senang mendengar bahwa kamu merasa sedikit lebih lega. Itu sudah langkah besar, dan aku di sini untuk mendukungmu selama proses ini. Bagaimana perasaanmu tentang apa yang akan terjadi selanjutnya? Apa yang paling membuatmu khawatir atau tidak pasti tentang situasi ini?","Perubahan membutuhkan waktu, dan aku di sini untuk mendukungmu. Kita akan bertemu lagi untuk membicarakan bagaimana jurnal dan sistem baru kamu berjalan. Jika kamu membutuhkan sesuatu sebelum pertemuan berikutnya, silakan hubungi aku saja.",1
"Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya.",pembahasan,False,"[Tahap Konseling: pembahasan] Mungkin saya bisa mulai berbicara dengan teman di kampus yang sudah lama saya kenal. Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya.","['Itu langkah yang bagus. Kamu juga bisa mencoba menetapkan batasan, agar kamu merasa lebih aman dalam berinteraksi dengan orang lain. Jika seseorang membuatmu tidak nyaman, kamu berhak untuk menjaga jarak, tapi bukan berarti kamu harus menjauhi semua orang.']","Jadi, kamu sedang mempertimbangkan untuk membuka diri kepada teman di kampus yang sudah lama kamu kenal. Itu menarik, karena sepertinya kamu memiliki kepercayaan terhadapnya, tetapi juga ada kesan bahwa kamu belum pernah benar-benar terbuka dengannya sebelumnya. Apa yang membuatmu ingin membuka diri kepadanya sekarang? Apakah ada sesuatu yang terjadi yang membuatmu merasa perlu untuk berbagi lebih banyak dengan seseorang?","Itu langkah yang bagus. Kamu juga bisa mencoba menetapkan batasan, agar kamu merasa lebih aman dalam berinteraksi dengan orang lain. Jika seseorang membuatmu tidak nyaman, kamu berhak untuk menjaga jarak, tapi bukan berarti kamu harus menjauhi semua orang.",1
Itu mungkin bisa membantu. Saya akan mencobanya.,solusi,False,[Tahap Konseling: solusi] Itu mungkin bisa membantu. Saya akan mencobanya.,['Saya juga ingin membahas sesuatu yang terjadi baru-baru ini. Saya mendengar bahwa kamu sempat mendorong dan memukul temanmu. Bisa ceritakan apa yang terjadi saat itu?'],"Saya senang mendengar bahwa Anda bersedia mencoba langkah-langkah baru. Itu sudah sebuah langkah besar! Sekarang, mari kita bicara lebih spesifik tentang apa yang Anda harapkan dapat capai dengan mencoba metode ini. Apa yang Anda ingin lihat berubah dalam hidup Anda setelah mencobanya?",Saya juga ingin membahas sebuah kejadian yang baru-baru ini terjadi. Saya dengar kamu memukul dan mendorong temanmu. Bisakah kamu menjelaskan apa yang terjadi saat itu?,1
"Saya tidak tahu. Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi.",solusi,False,"[Tahap Konseling: solusi] Saya tidak tahu. Saya takut kalau saya mencoba lagi, saya akan dikhianati lagi.",['Itu adalah perasaan yang valid. Tapi bagaimana jika kita mulai dengan langkah kecil? Mungkin kamu bisa mencoba berbicara lebih terbuka dengan seseorang yang sudah kamu kenal lama dan kamu rasa bisa dipercaya.'],"Saya paham betapa takut dan cemasnya kamu saat ini. Rasanya seperti ada risiko besar yang menghadang setiap kali kamu mencoba untuk mempercayai orang lain lagi. Tapi, bagaimana jika kita mulai dengan sesuatu yang lebih kecil dan lebih aman? Mungkin kamu bisa mencoba berbagi sedikit tentang perasaanmu dengan seseorang yang kamu rasa cukup dekat dan bisa dipercaya, seperti seorang teman dekat atau anggota keluarga. Dengan melakukan ini, kamu bisa secara perlahan-lahan membangun kembali rasa percaya diri dan memahami bahwa tidak semua orang akan mengkhianati kepercayaanmu. Apa yang kamu pikir tentang hal ini?",Itu adalah emosi yang sah. Tetapi bagaimana jika kita awali dengan langkah-langkah kecil? Kamu mungkin bisa mencoba untuk berbicara lebih jujur dengan seseorang yang sudah kamu kenal lama dan kamu anggap dapat dipercaya.,1
Halo,pembukaan,False,[Tahap Konseling: pembukaan] Halo,"['Halo DNS, terima kasih sudah datang ke sesi konseling ini. Saya ingin memastikan bahwa ini adalah ruang yang aman untukmu dan saya di sini untuk mendengarkan serta membantumu. Bagaimana perasaanmu hari ini?']",Halo! Saya senang kamu datang ke sini. Saya di sini untuk mendengarkan dan membantu jika kamu membutuhkannya. Bagaimana perasaanmu hari ini?,Halo. Aku pastikan ini adalah tempat nyaman dan aman untukmu. Saya siap untuk mendengar dan membantumu. Apa kabarmu hari ini?,1
"Halo Kak, hari ini aku merasa sedikit lebih baik, tapi tetap masih ada rasa cemas dengan kuliah",pembahasan,False,"[Tahap Konseling: pembahasan] Halo Kak, hari ini aku merasa sedikit lebih baik, tapi tetap masih ada rasa cemas dengan kuliah","['Saya senang mendengar kalau kamu merasa lebih baik. Kita akan membahas beberapa hal hari ini, ya. Sebelumnya, bagaimana perkembanganmu sejak pertemuan terakhir?']",Senang sekali mendengar kalau kamu merasa sedikit lebih baik hari ini. Bagaimana perasaanmu tentang kuliah yang membuatmu masih merasa cemas? Apa yang terjadi atau apa yang kamu pikirkan saat merasa cemas tentang kuliah?,"Senang mendengar kamu merasa lebih baik lagi. Kita akan membahas beberapa hal hari ini, ya. Sebelumnya, bagaimana perkembanganmu sejak pertemuan terakhir?",1
"Baik, Kak. Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.",pembahasan,False,"[Tahap Konseling: pembahasan] Baik, Kak. Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.",['Saya juga ingin kamu mencoba journaling seminggu sekali. Tuliskan semua pengalaman positif yang kamu alami dalam seminggu. Ini akan membantumu lebih fokus pada hal-hal baik dalam hidupmu.'],"Jadi, kamu merasa bahwa melukis atau jalan-jalan sebentar bisa membantu mengurangi stres yang kamu rasakan. Apa yang membuat kamu berpikir bahwa kegiatan-kegiatan tersebut bisa membantu? Apakah ada pengalaman sebelumnya yang membuat kamu yakin bahwa ini bisa menjadi cara yang efektif untuk mengatasi stres?",Saya juga mengajak kamu untuk mencoba menulis jurnal setiap minggu sekali. Tuliskan semua pengalaman baik yang kamu alami dalam seminggu. Ini akan membantumu untuk lebih fokus pada hal-hal yang baik dalam hidupmu.,1
"Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat dulu…",solusi,False,"[Tahap Konseling: solusi] Itu masuk akal. Aku tidak mau terus-menerus merasa putus asa, jadi aku akan coba. Kak, ibuku menelepon. Aku harus angkat dulu…","['Tidak apa-apa, silakan dijawab.']","Tidak apa-apa, silakan jawab panggilan ibumu dulu. Kami bisa melanjutkan percakapan ini nanti jika kamu membutuhkannya.","Baik, saya akan beri jeda terlebih dahulu",1
"Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya.",pembahasan,False,"[Tahap Konseling: pembahasan] Tapi saya takut kalau saya mengatakan itu, justru akan memperburuk hubungan saya dengan B dan teman-teman lainnya.","['Itu wajar. Tapi dengan komunikasi yang asertif, kamu bisa mengungkapkan perasaanmu tanpa menyulut konflik. Kadang, orang lain tidak menyadari bahwa tindakan mereka menyakiti kita, dan kita perlu memberi tahu mereka dengan cara yang baik.']","Saya bisa merasakan betapa takutnya Anda untuk mengungkapkan perasaan Anda kepada B dan teman-teman lainnya. Sepertinya, Anda sangat mempertimbangkan bagaimana reaksi mereka dan bagaimana itu akan mempengaruhi hubungan Anda dengan mereka. Apa yang membuat Anda pikir bahwa mengungkapkan perasaan Anda akan memperburuk hubungan?","Itu wajar. Tapi dengan berbicara tegas, kamu bisa menyampaikan perasaanmu tanpa menyebabkan perangkap. Terkadang, orang lain tidak tahu bahwa hal yang mereka lakukan membuat kita merasa sakit, dan kita harus mengatakannya dengan cara yang lembut.",1
"Oke, aku bisa coba itu.",pembahasan,False,"[Tahap Konseling: pembahasan] Oke, aku bisa coba itu.","['Kedua, mari kita buat sistem kecil untuk membantumu menyelesaikan tugas. Kita mulai dengan tugas yang paling kecil, dan aku ingin kamu mencoba teknik pomodoro—mengerjakan selama 25 menit, lalu istirahat 5 menit. Bagaimana menurutmu?']","Bagaimana perasaanmu saat mengatakan ""aku bisa coba itu""? Apakah ada keraguan atau kekhawatiran yang muncul di benakmu tentang mencoba sesuatu yang baru?","Senang mendengarnya, bagaimana rencanamu mencobanya?",1
