book_name,chapter,chapter_summary
1 Korintus,1,"**Tema utama:** Pengkehidupan dan peran Jesus Kristus di dalam Alkitab.

**Konteks:** pasal ini membahas tentang pentingnya kehidupan dan peran Jesus Kristus sebagai seorang rasul dan savi bagi seluruh orang di seluruh dunia."
1 Korintus,2,"1. Alkitab memberi penjelasan tentang kekuatan Roh dan pentingnya mencintai Allah dengan kekuatan Roh.
2. Alkitab menyatakan bahwa Allah tidak menerima apa yang berasal dari Roh Allah, karena hal itu baginya adalah suatu kebodohan.
3. Alkitab memberi penjelasan tentang pentingnya mencintai Allah dengan kekuatan Roh."
1 Korintus,3,"**Tema utama:** Pengaruh Kehidupan Tersembunyi pada Kehidupan Terbuka

**Konteks:** pasal ini membahas tentang makna dan peran Allah dalam kehidupan manusia, terutama pada saat kehidupan tersembunyi."
1 Korintus,4,"1. Demikianlah hendaknya orang memandang kami sebagai hamba-hamba Kristus, yang kepadanya dipercayakan rahasia Allah.
2. Yang akhirnya dituntut dari pelayan-pelayan yang demikian ialah, bahwa mereka ternyata dapat dipercayai.
3. Kami telah menjadi tontonan bagi dunia, bagi malaikat-malaikat dan bagi manusia, dan karena itu, kami telah menjadi sama dengan sampah dunia, sama dengan kotoran dari segala sesuatu."
1 Korintus,5,"1. Percabulan di antara orang-orang yang tidak mengenal Allah menunjukkan adanya orang yang hidup dengan isteri ayahnya.
2. Sekalipun demikian, kamu sombong dan menjauhkan orang yang melakukan hal itu dari tengah-tengah kamu.
3. Kebiasaan rohani kehadiran menunjukkan bahwa Allah hadir di tengah-tengah kita."
1 Korintus,6,"1. **Tema utama:** Keadilan dan tanggung jawab dalam masyarakat.
2. **Konteks:** Pengakibat penghakiman dunia dan tanggung jawab untuk mengurus perkara-perkara biasa.
3. **Tema:** Kekurangan dan ketidakadilan dalam hidup.
4. **Tema:** Pengorot terhadap tanggung jawab dan delegasi tugas.
5. **Tema:** Keadilan dan partisipasi dalam masyarakat.
6. **Tema:** Keadilan dan kepercayaan pada Allah.
7. **Tema:** Kehidupan yang terjejak dan ketidakadilan.
8. **Tema:** Kejahatan dan akibat ketidakadilan.
9. **Tema:** Keadilan dan partisipasi dalam masyarakat.
10. **Tema:** Keadilan dan partisipasi dalam masyarakat.
11. **Tema:** Pengorot terhadap disucikan dan penghakimatan.
12. **Tema:** Kemanusiaan dan partisipasi dalam masyarakat.
13. **Tema:** Pernah dan tidak, dan hubungan antara makanan dan Tuhan.
14. **Tema:** Pengikatan diri pada Allah dan hubungan dengan tubuh.
15. **Tema:** Keduanya dan partisipasi dalam masyarakat.
16. **Tema:** Kemanusiaan dan hubungan dengan Tuhan.
17. **Tema:** Kemanusiaan dan hubungan dengan Tuhan.
18. **Tema:** Percabulan dan dosa.
19. **Tema:** Kemanusiaan dan hubungan dengan Roh Kudus.
20. **Tema:** Belanja dan tanggung jawab terhadap Allah."
1 Korintus,7,"**Tema utama:** Kejujuran dan kewajiban dalam hubungan antara suami dan isteri.

**Konteks:** pasal ini membahas tentang kewajiban dan kejujuran yang harus dilakukan oleh suami dan isteri dalam hubungan mereka."
1 Korintus,8,"**Tema utama:** Pengenalan tentang pengetahuan dan Allah

**Konteks:** pasal ini membahas tentang pengetahuan, Allah, dan makanan dalam konteks pengenalan."
1 Korintus,9,"**Tema utama:** Penghak dan tanggung jawab dalam kehidupan

**Konteks:** pasal ini membahas tentang hak-hak yang diberikan kepada orang-orang dalam kehidupan, terutama dalam konteks Christianity."
1 Korintus,10,"1. Alkitab memberi informasi tentang perlindungan awan dan kehidupan setelah kematian.
2. Alkitab menjelaskan tentang ritual penamaian dan pengkebumian di awan dan laut.
3. Alkitab membahas tentang makanan dan minuman yang diterima oleh orang-orang."
