question,stage,reference,intent_override
"Dari kecil, kayaknya dari SD… Aku nggak suka main keluar, lebih nyaman di rumah aja.",relaksasi,Apa kamu merasa lebih nyaman berinteraksi secara online dibandingkan secara langsung?,Menyatakan Perasaan Sedih dan Kehilangan
Tapi orang tua saya tidak akan setuju,intervensi,Kamu tidak harus langsung memberitahu mereka. Kita bisa mencari opsi yang paling nyaman untukmu. Apakah kamu mau mempertimbangkan pergi sendiri ke psikiater terlebih dahulu?,
"Itu bisa dicoba, Kak. Tapi aku takut orang-orang sudah punya kelompoknya masing-masing.",solusi,Memang kadang sulit untuk masuk ke kelompok yang sudah terbentuk. Tapi kamu bisa mulai dengan menawarkan diri untuk belajar bersama dengan satu atau dua teman yang sekelas denganmu. Coba ajak mereka untuk berdiskusi atau saling berbagi materi.,Menyatakan Perasaan Sedih dan Kehilangan
"Rasanya panik, Kak. Aku jadi nggak bisa konsentrasi, dan malah makin stres. Aku kayak nggak bisa nolak juga, karena ada ekspektasi dari senior kalau aku harus bisa handle semuanya.",pembahasan,Aku dengar kamu juga mengalami panic attack. Bisa ceritakan apa yang terjadi?,
"Ya, saya merasa tidak aman. Rasanya seperti semua orang akan menilai saya berdasarkan masa lalu saya.",pembahasan,Saya bisa memahami kekhawatiranmu. Apa yang akan terjadi menurutmu jika kamu tetap mengunggahnya?,
"Kadang nyaman, kadang nggak. Aku suka kalau punya teman yang bisa diajak diskusi soal akademik, tapi aku juga merasa ada sesuatu yang kurang. Kayak, kok rasanya aku tetap merasa nggak sepenuhnya diterima?",pembahasan,"Bisa jadi karena hubungan yang terjalin masih sebatas manfaat akademik, belum benar-benar membangun koneksi emosional. Kita bisa eksplorasi lebih jauh tentang bagaimana membangun hubungan yang lebih seimbang.",
"Halo Kak. Ya... saya merasa sedikit lebih baik, tapi tetap ada rasa kecewa yang sulit hilang. Saya merasa dikhianati oleh orang yang saya percayai di gereja.",pembahasan,Saya mengerti bahwa ini pasti sangat sulit untukmu. Bisa kamu ceritakan lebih lanjut tentang apa yang terjadi?,
Saya merasa lebih tenang setelah melakukan ini.,relaksasi,Itu sangat baik. Kamu bisa menggunakan teknik ini setiap kali merasa gugup atau cemas,Menyatakan Perasaan Sedih dan Kehilangan
Iya… aku takut dibilang lebay atau nggak percaya sama dia.,pembahasan,"Kita bisa mencoba cara untuk mengomunikasikan ini dengan lebih halus, supaya kamu tetap bisa menjaga pertemanan tapi juga merasa lebih nyaman dan aman dengan apa yang kamu ceritakan.",
Halo,pembukaan,"Halo S, bagaimana perasaanmu hari ini?",
"Itu terdengar lebih sopan, tapi tetap menyampaikan apa yang saya inginkan ya?",pembahasan,"Tepat sekali! Dengan begitu, kamu bisa tetap menghargai dosen walimu sambil menyampaikan keinginanmu dengan jelas.",
"Belum sih… Aku biasanya malah tenggelam di media sosial, stalking dia atau nge-scroll tanpa tujuan.",pembahasan,"Bagaimana kalau kita coba latihan kecil sekarang? Kita akan melakukan latihan pernapasan. Tarik napas dalam, tahan sebentar, lalu buang pelan-pelan. Ayo, kita coba bersama.",
