question,intent
Saya merasa dikhianati oleh orang yang saya percayai di gereja,Perasaan Benci dan Jijik
Saya merasa ada banyak hal yang mengganggu pikiran saya.,Perasaan Benci dan Jijik
"Saya sering menghindari komunikasi dengan dia, misalnya tidak membalas chat dan menjauh tanpa alasan yang jelas.",Perasaan Benci dan Jijik
Sampai akhirnya bulan lalu dia bilang ingin break untuk introspeksi diri.,Perasaan Benci dan Jijik
"Sejak itu, saya tidak pernah lagi bercerita kepada orang tua saya.",Perasaan Benci dan Jijik
Saya biasanya berusaha untuk tidak memperdulikan ayah dan lebih dekat dengan ibu. ,Perasaan Benci dan Jijik
Saya juga merasa sering menyalahkan diri sendiri dan sulit mengekspresikan emosi saya.,Perasaan Benci dan Jijik
mendengar suara yang mengatakan 'kamu tidak layak dicintai',Perasaan Benci dan Jijik
"Saya biasanya mengabaikannya, ",Perasaan Benci dan Jijik
tapi juga merasa bersalah. ,Perasaan Benci dan Jijik
Saya hanya diam. ,Perasaan Benci dan Jijik
Saya tidak ingin terlalu dekat dengan siapa pun sekarang.,Perasaan Benci dan Jijik
Rasanya seperti lebih baik menjauh dari semua orang daripada harus dikhianati lagi.,Perasaan Benci dan Jijik
Saya hanya diam dan berpura-pura tidak tahu. ,Perasaan Benci dan Jijik
Saya tidak ingin terlihat lemah di hadapan B.,Perasaan Benci dan Jijik
Saya tidak suka dan merasa dia terlalu menempel.,Perasaan Benci dan Jijik
saya tidak suka rasanya. ,Perasaan Benci dan Jijik
itu sangat mengganggu.,Perasaan Benci dan Jijik
Tidak! Saya tidak mau ke psikiater,Perasaan Benci dan Jijik
"Tetap saja, saya tidak ingin orang tua saya tahu.",Perasaan Benci dan Jijik
dibandingkan dengan yang lain.,Perasaan Benci dan Jijik
"Tidak, Kak. ",Perasaan Benci dan Jijik
jadi aku nggak mau berhenti,Perasaan Benci dan Jijik
 aku kecewa,Perasaan Benci dan Jijik
aku lebih milih nggak cerita lagi ke mama soal perasaanku.,Perasaan Benci dan Jijik
Aku nggak suka ada di tempat ramai. ,Perasaan Benci dan Jijik
Aku nggak suka main keluar,Perasaan Benci dan Jijik
kayak perasaan bersalah yang tidak hilang.,Perasaan Benci dan Jijik
Aku nggak mau dipermalukan seperti kakakku.,Perasaan Benci dan Jijik
"Tapi kalau menurutku mereka hanya menjadi beban, aku tidak terlalu tertarik untuk berteman dengan mereka.",Perasaan Benci dan Jijik
Aku juga sulit berempati kalau mereka cerita soal pacar atau masalah pribadi.,Perasaan Benci dan Jijik
jadi sejak kecil aku selalu disuruh rebonding. ,Perasaan Benci dan Jijik
"Ya, aku memang agak terganggu. ",Perasaan Benci dan Jijik
"Kadang aku malah bermain handphone, membaca novel, atau tiba-tiba aku merasa mengantuk dan memilih tidur. ",Perasaan Benci dan Jijik
tapi aku tetap mengulangi kesalahan yang sama.,Perasaan Benci dan Jijik
Aku merasa semakin buruk. ,Perasaan Benci dan Jijik
Aku benci kalau orang marah padaku… ,Perasaan Benci dan Jijik
Aku merasa mereka tidak memiliki common sense. Aku tidak mengerti kenapa mereka tidak bisa lebih mandiri dan bertanggung jawab.,Perasaan Benci dan Jijik
Saya tidak ingin membicarakan terlalu banyak tentang itu,Perasaan Benci dan Jijik
"Sejujurnya, saya tidak merasa bersalah. ",Perasaan Benci dan Jijik
"Tidak, saya tidak mau ke psikiater. ",Perasaan Benci dan Jijik
"Kadang aku berpikir, apakah aku ini salah terus di mata mereka?",Perasaan Benci dan Jijik
Maaf aku telat tadi,Perasaan Percaya 
"Baik kak, tapi ya, seperti yang aku bilang di kuesioner",Perasaan Percaya 
"Saya sudah merasa seperti ini sejak lama, mungkin sejak SD. ",Perasaan Percaya 
Kadang dia hanya mengajak saya berbicara atau menanyakan perasaan saya.,Perasaan Percaya 
Itu mungkin bisa membantu,Perasaan Percaya 
"Itu bisa jadi ide yang bagus, Kak. ",Perasaan Percaya 
"Saya tidak tahu apakah itu mungkin, tapi saya ingin mencobanya. ",Perasaan Percaya 
"Terima kasih, Kak",Perasaan Percaya 
Mungkin... saya bisa mencoba.,Perasaan Percaya 
"Jadi, saya punya seorang kakak laki-laki di gereja yang sudah saya anggap sebagai kakak sendiri. ",Perasaan Percaya 
"Di chat itu, saya pernah bilang kalau saya tidak ingin berteman dengan orang lain selain yang sudah dekat dengan saya. ",Perasaan Percaya 
"Baik, Kak.",Perasaan Percaya 
"Baiklah, saya akan coba menuliskannya",Perasaan Percaya 
Aku mencoba lebih membuka diri,Perasaan Percaya 
tapi setidaknya aku tidak lagi merasa terlalu sendirian.,Perasaan Percaya 
"Baik, aku akan coba.",Perasaan Percaya 
Aku masih sering berkomunikasi dengannya. ,Perasaan Percaya 
Aku tahu ibuku ingin aku fokus kuliah,Perasaan Percaya 
Itu masuk akal. ,Perasaan Percaya 
Awalnya biasa aja,Perasaan Percaya 
Iya… padahal aku udah berusaha sebisa mungkin. ,Perasaan Percaya 
Awalnya aku pikir cuma perasaan,Perasaan Percaya 
Iya… aku tahu mungkin nggak semua orang benar-benar memperhatikan aku,Perasaan Percaya 
"Iya, soalnya temanku sering cerita tentang masalah orang lain ke aku. ",Perasaan Percaya 
"Iya, aku mau coba",Perasaan Percaya 
"Aku sebenarnya punya teman, tapi lebih dekat dengan yang beda jurusan. ",Perasaan Percaya 
"Tapi aku nggak pernah benar-benar melakukannya, karena aku tahu itu salah",Perasaan Percaya 
Mungkin karena cowok lebih nggak ribet? ,Perasaan Percaya 
"Aku pikir, aku cukup buat dia. ",Perasaan Percaya 
"Kami masih teman, sih… ",Perasaan Percaya 
"Aku sayang sama dia, Kak",Perasaan Percaya 
Aku pikir pacaran tuh harusnya bikin bahagia,Perasaan Percaya 
Aku tahu aku tidak melakukan hal sejauh kakakku,Perasaan Percaya 
Aku tahu ini mungkin sepele,Perasaan Percaya 
Aku tahu maksudnya baik,Perasaan Percaya 
"Aku tahu sebagai anak pertama aku harus jadi contoh, harus bisa memenuhi ekspektasi keluarga. ",Perasaan Percaya 
Aku tahu ini salahku,Perasaan Percaya 
"Kalau dia tahu aku tidak mengumpulkan tugas, dia akan berteriak, menjambak, atau memukulku dengan sapu. ",Perasaan Percaya 
Aku pikir mereka seharusnya bisa mengerti sendiri tanpa aku harus mengatakan apa-apa.,Perasaan Percaya 
"Mungkin, tapi aku tetap merasa standar yang aku tetapkan itu benar.",Perasaan Percaya 
Saya masih bisa mengendalikannya dan saya juga bisa mengabaikannya jika saya tidak ingin berbicara dengannya.,Perasaan Percaya 
Mungkin saya memang terlalu fokus pada kelemahan saya sendiri…,Perasaan Percaya 
"Iya, mereka selalu ingin saya menjadi kuat. ",Perasaan Percaya 
Saya tahu saya harus bisa menerima masa lalu,Perasaan Percaya 
mungkin saya akan merasa lebih lega. ,Perasaan Percaya 
"Saya tahu dia tidak pernah menjelek-jelekkan saya, tapi saya juga tidak pernah terlalu terbuka dengannya.",Perasaan Percaya 
Saya mengerti. Saya akan coba perlahan.,Perasaan Percaya 
"Baik, saya akan mencoba. Tapi mungkin saya butuh latihan dulu.",Perasaan Percaya 
"Oke, saya akan coba.",Perasaan Percaya 
Tapi orang tua saya tidak akan setuju,Perasaan Percaya 
"Mungkin aku harus coba, ya?",Perasaan Percaya 
tapi aku mau coba kalau itu bisa membantu.,Perasaan Percaya 
Aku suka nulis… ,Perasaan Percaya 
Iya… Aku akan coba,Perasaan Percaya 
Itu terdengar lebih terarah… Aku bisa coba itu!,Perasaan Percaya 
"Ya, mungkin seperti itu.",Perasaan Percaya 
Oke… Aku coba deh.,Perasaan Percaya 
Ya… Aku mau mencoba.,Perasaan Percaya 
"Oke, aku bisa coba itu.",Perasaan Percaya 
Saya akan mencobanya jika merasa marah lagi.,Perasaan Percaya 
tapi tetap menyampaikan apa yang saya inginkan ya?,Perasaan Percaya 
"Itu bisa dicoba, Kak. ",Perasaan Percaya 
Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.,Perasaan Percaya 
Mungkin aku bisa mulai melukis atau jalan-jalan sebentar untuk mengurangi stres.,Perasaan Percaya 
Tapi mungkin aku bisa mencoba.,Perasaan Percaya 
Aku akan coba bicara sendiri nanti.,Perasaan Percaya 
"Baik, aku akan mencobanya.",Perasaan Percaya 
"Iya, Kak. Aku bakal coba.",Perasaan Percaya 
"Iya… Aku akan coba, Kak. ",Perasaan Percaya 
"Iya… Aku akan coba, Kak.",Perasaan Percaya 
"Iya, aku akan coba…",Perasaan Percaya 
Walaupun aku tahu ini tidak akan mudah.,Perasaan Percaya 
"Baik, aku akan mencoba. ",Perasaan Percaya 
"Saya merasa baik-baik saja, Kak.",Rasa Syukur dan Apresiasi
Saya merasa lebih baik,Rasa Syukur dan Apresiasi
Saya merasa cukup baik hari ini,Rasa Syukur dan Apresiasi
Hari ini rasanya sedikit lebih baik,Rasa Syukur dan Apresiasi
hari ini aku merasa sedikit lebih baik,Rasa Syukur dan Apresiasi
"Halo kak, sebenarnya hari ini perasaanku lebih baik dibanding pertemuan sebelumnya",Rasa Syukur dan Apresiasi
"Iya, saya merasa lebih nyaman sendiri karena tidak ada tuntutan untuk selalu merespons seseorang. ",Rasa Syukur dan Apresiasi
"Ya, saya sebenarnya paham",Rasa Syukur dan Apresiasi
Sebenarnya mereka biasa saja,Rasa Syukur dan Apresiasi
Tidak ada yang mengejek atau mempermalukan saya.,Rasa Syukur dan Apresiasi
"Saya sering keluar berdua dengan ibu, dan itu membuat saya merasa lebih tenang.",Rasa Syukur dan Apresiasi
"Iya, saya merasa lebih bisa bercerita dengan ibu. ",Rasa Syukur dan Apresiasi
"Saya baik-baik saja, Kak. ",Rasa Syukur dan Apresiasi
agar saya merasa lebih baik.,Rasa Syukur dan Apresiasi
Ibu saya sangat bangga saya bisa kuliah di Maranatha,Rasa Syukur dan Apresiasi
"Saya selalu berusaha membantu dia, bahkan saat saya lelah atau waktu sudah malam. ",Rasa Syukur dan Apresiasi
Saya cukup senang karena nilai saya meningkat.,Rasa Syukur dan Apresiasi
Saya merasa sedikit lega,Rasa Syukur dan Apresiasi
"Iya, tapi tidak sesering sebelumnya",Rasa Syukur dan Apresiasi
